127.0.0.1 - - [13/Oct/2019:12:39:29 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2019:12:39:32 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:12:39:32 +0530] "GET /trendprediction/admin/adminResource/image/avatar-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:12:39:32 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:12:39:32 +0530] "GET /trendprediction/admin/adminResource/css/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:12:39:34 +0530] "GET /trendprediction/admin/adminResource/css/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:12:39:34 +0530] "GET /trendprediction/admin/adminResource/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:12:39:44 +0530] "GET /trendprediction/admin/page-login.html HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:51 +0530] "GET /trendprediction/admin/index.jsp HTTP/1.1" 200 30656
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/css/style.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/css/waves.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/css/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/css/percircle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/css/fullcalendar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:53 +0530] "GET /trendprediction/admin/adminResource/css/chartist.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/waves.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/chart.sparkline.init.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/loader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/percircle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/chartist.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/jquery.chartist.init.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/fullcalendar.init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/fullcalendar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/mycommon.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/main.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/js/moment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:54 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/aminResources/image/avatar-sm-6.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/css/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
